date,passengers
1949-01,112
1949-02,118
1949-03,132
1949-04,129,ciao
 1 9 49-05, 121
1949-06,135
3212-17,23219
1949-07,-148

1949-07,-148

1949-07,-148
1949-07,-148
1949-08,180 ,

,,,,,,,,,

1949-09,136
****-**,*****
1949-10,119
1949-11,104
1949-12,118
1950-01,1
1950-02,1260
1950-03,141
1950-04,135
1950-05,125
1950-06,149
1950-07,170
1950-08,170
1950-09,158
1950-10,133
1950-11,114
1950-12,140
1951-01,1
1951-02,1500
1951-03,178
1951-04,163
1951-05,172
1951-06,178
1951-07,199
1951-08,199
1951-09,184
1951-10,162
1951-11,146
1951-12,166

1952-01,1
1952-02,10000
1952-03,193
1952-04,181
1952-05,183
ciao,1952-06,218
1952-07,230
1952-08,242
1952-09,209
1952-10,191
1952-11,172
1952-12,194
1953-01,1
1953-02,1960
1953-03,236
1953-04,235
1953-05,229
1953-06,243

1953-07,264
1953-08,272
1953-09,237
1953-10,211
1953-11,180
1953-12,201
1954-01,2
1954-02,1880
1954-03,1880
1954-04,2
1954-05,234
1954-06,264
1954-07,302
1954-08,293
1954-09,259
1954-10,229
1954-11,203
1954-12,229